date, pm25, pm10, o3, no2, so2, co
2024/3/10, 103, 52, 32, 22, 3, 4
2024/3/11, 109, 75, 46, 25, 3, 5
2024/3/12, 153, 43, 45, 17, 2, 4
2024/3/13, 99, 56, 16, 33, 4, 4
2024/3/14, 97, 43, 40, 24, 2, 3
2024/3/15, 82, 34, 35, 17, 3, 3
2024/3/16, 82, 70, 31, 20, 3, 6
2024/3/17, 120, 67, 28, 16, 3, 4
2024/3/18, 70, 69, 41, 17, 3, 5
2024/3/19, 122, 114, 44, 21, 3, 4
2024/3/20, 98, 65, 58, 18, 3, 4
2024/3/21, 85, 60, 64, 14, 3, 4
2024/3/22, 79, 69, 40, 33, 3, 6
2024/3/23, 119, 75, 19, 30, 3, 9
2024/3/24, 155, 46, 28, 15, 2, 6
2024/3/25, 120, 30, 38, 12, 2, 5
2024/3/26, 90, 30, 49, 14, 2, 4
2024/3/27, 83, 40, 25, 18, 2, 7
2024/3/28, 105, 48, 58, 21, 3, 7
2024/3/29, 115, 59, 87, 24, 4, 6
2024/3/30, 116, 69, 42, 21, 3, 7
2024/3/31, 143, 62, 71, 18, 3, 6
2023/10/1, 55, 28, 40, 9, 2, 4
2023/10/2, 40, 28, 37, 12, 2, 5
2023/10/3, 42, 29, 35, 11, 2, 5
2023/10/4, 43, 41, 36, 9, 2, 4
2023/10/5, 48, 30, 33, 8, 2, 4
2023/10/6, 30, 25, 35, 9, 2, 4
2023/10/7, 36, 17, 35, 10, 2, 5
2023/10/8, 38, 40, 37, 17, 2, 6
2023/10/9, 82, 50, 44, 19, 2, 6
2023/10/10, 109, 34, 46, 14, 2, 5
2023/10/11, 66, 35, 38, 18, 2, 5
2023/10/12, 71, 22, 34, 14, 2, 5
2023/10/13, 61, 47, 51, 23, 2, 7
2023/10/14, 126, 56, 66, 23, 3, 7
2023/10/15, 131, 66, 69, 23, 3, 8
2023/10/16, 145, 61, 85, 24, 2, 7
2023/10/17, 142, 45, 90, 17, 2, 6
2023/10/18, 115, 60, 91, 21, 3, 7
2023/10/19, 135, 28, 33, 13, 2, 6
2023/10/20, 61, 42, 39, 20, 2, 6
2023/10/21, 70, 37, 48, 22, 2, 6
2023/10/22, 70, 28, 47, 19, 2, 5
2023/10/23, 55, 39, 57, 17, 2, 6
2023/10/24, 78, 57, 80, 21, 2, 7
2023/10/25, 128, 53, 86, 22, 3, 7
2023/10/26, 125, 50, 63, 20, 2, 8
2023/10/27, 119, 27, 35, 22, 2, 4
2023/10/28, 51, 38, 53, 17, 2, 4
2023/10/29, 56, 37, 49, 16, 2, 4
2023/10/30, 63, 37, 62, 18, 2, 4
2023/10/31, 71, 35, 63, 14, 2, 4
2023/11/1, 69, 26, 55, 10, 2, 4
2023/11/2, 53, 46, 64, 16, 3, 5
2023/11/3, 88, 27, 32, 14, 2, 5
2023/11/4, 64, 20, 36, 8, 2, 5
2023/11/5, 43, 31, 29, 9, 2, 6
2023/11/6, 62, 53, 31, 20, 3, 6
2023/11/7, 79, 48, 32, 23, 3, 6
2023/11/8, 85, 54, 21, 26, 2, 7
2023/11/9, 110, 25, 27, 10, 2, 6
2023/11/10, 66, 27, 26, 10, 2, 4
2023/11/11, 43, 37, 21, 11, 2, 6
2023/11/12, 86, 40, 26, 20, 3, 7
2023/11/13, 77, 61, 32, 30, 2, 8
2023/11/14, 127, 84, 34, 39, 4, 10
2023/11/15, 165, 93, 30, 25, 3, 8
2023/11/16, 152, 93, 27, 16, 3, 6
2023/11/17, 90, 52, 23, 22, 3, 7
